product_id,product_name,category
P1001,Wooden Dining Table,Furniture
P1002,Stainless Steel Water Bottle,Kitchen
P1003,LED Desk Lamp,Lighting
P1004,Ergonomic Office Chair,Furniture
P1005,Ceramic Vase,Decor
P1006,Bluetooth Speaker,Electronics
P1007,Cotton Bedsheet Set,Bedding
P1008,Wall Art Canvas Set,Decor
P1009,Non-stick Frying Pan,Kitchen
P1010,Wireless Mouse,Electronics
P1011,Glass Coffee Table,Furniture
P1012,Smart LED Bulb,Lighting
P1013,Porcelain Dinner Set,Kitchen
P1014,Floor Standing Lamp,Lighting
P1015,Abstract Wall Clock,Decor
P1016,Memory Foam Pillow,Bedding
P1017,USB-C Charging Dock,Electronics
P1018,Adjustable Bookshelf,Furniture
P1019,Bamboo Cutting Board,Kitchen
P1020,Faux Plant Set,Decor
P1021,Silk Duvet Cover,Bedding
P1022,Electric Kettle,Kitchen
P1023,Noise-Cancelling Headphones,Electronics
P1024,Recliner Sofa,Furniture
P1025,Glass Pendant Light,Lighting
P1026,Woven Storage Basket,Decor
P1027,Digital Alarm Clock,Electronics
P1028,Linen Curtain Pair,Decor
P1029,Metal Shoe Rack,Furniture
P1030,Acrylic Spice Organizer,Kitchen
P1031,Velvet Cushion Covers,Bedding
P1032,Wall-Mounted Bookshelf,Furniture
P1033,LED Strip Light,Lighting
P1034,Copper Saucepan,Kitchen
P1035,Mini Bluetooth Projector,Electronics
P1036,Wooden Wall Hooks,Decor
P1037,Steel Laundry Hamper,Furniture
P1038,Reversible Comforter,Bedding
P1039,Portable Table Fan,Electronics
P1040,Glass Oil Dispenser,Kitchen
P1041,Floor Rug,Decor
P1042,Folding Study Table,Furniture
P1043,Gooseneck Reading Lamp,Lighting
P1044,Popcorn Maker,Kitchen
P1045,Wireless Charger Stand,Electronics
P1046,Metal Plant Stand,Decor
P1047,Leatherette Bean Bag,Furniture
P1048,Weighted Blanket,Bedding
P1049,Electric Hand Mixer,Kitchen
P1050,Portable Power Bank,Electronics
P1051,Macrame Wall Hanging,Decor
P1052,3-Tier Storage Rack,Furniture
P1053,Tabletop Vanity Mirror,Lighting
P1054,Glass Mixing Bowl Set,Kitchen
P1055,Wireless Earbuds,Electronics
P1056,Ceramic Wall Planters,Decor
P1057,Folding Laptop Table,Furniture
P1058,Quilted Bedspread,Bedding
P1059,Toaster Oven,Kitchen
P1060,Smart Plug Socket,Electronics
P1061,Hanging Photo Frame Set,Decor
P1062,Expandable Shoe Cabinet,Furniture
P1063,Desk Clamp Lamp,Lighting
P1064,Non-stick Baking Tray,Kitchen
P1065,Action Camera,Electronics
P1066,Decorative Mirror Set,Decor
P1067,Corner Bookshelf,Furniture
P1068,Waterproof Mattress Protector,Bedding
P1069,Electric Rice Cooker,Kitchen
P1070,Mini Bluetooth Keyboard,Electronics
P1071,Acrylic Flower Vase,Decor
P1072,Swivel Bar Stool,Furniture
P1073,LED Night Light,Lighting
P1074,Glass Storage Jars,Kitchen
P1075,Smartwatch,Electronics
P1076,Table Runner Set,Decor
P1077,Convertible Sofa Bed,Furniture
P1078,Luxury Bath Towel Set,Bedding
P1079,Stainless Steel Grater,Kitchen
P1080,VR Headset,Electronics
P1081,Canvas Wall Scrolls,Decor
P1082,Folding Dining Table,Furniture
P1083,Adjustable LED Mirror,Lighting
P1084,Copper Measuring Cups,Kitchen
P1085,Streaming Media Player,Electronics
P1086,LED Fairy Lights,Decor
P1087,4-Drawer Chest Cabinet,Furniture
P1088,Organic Cotton Pillow,Bedding
P1089,Electric Sandwich Maker,Kitchen
P1090,Mechanical Gaming Keyboard,Electronics
P1091,Framed Canvas Art,Decor
P1092,Glass-Top TV Stand,Furniture
P1093,Desk Task Lamp,Lighting
P1094,Ceramic Mug Set,Kitchen
P1095,Noise Meter,Electronics
P1096,Geometric Wall Decals,Decor
P1097,Modular Closet Organizer,Furniture
P1098,Plush Throw Blanket,Bedding
P1099,Ice Cream Maker,Kitchen
P1100,HD Web Camera,Electronics